name_town;group_town;insee_town
Gémozac;Nord-Est;17 172
Genétouze (La);Sud-Est;17 173
Genouillé;Nord-Ouest;17 174
Germignac;Sud-Est;17 175
Gibourne;Nord-Est;17 176
Gicq (Le);Nord-Est;17 177
Givrezac;Sud-Est;17 178
Gonds (Les);Nord-Est;17 179
Gourvillette;Nord-Est;17 180
Grandjean;Nord-Est;17 181
Grand-Village-Plage (Le);Sud-Ouest;17 485
Grève-sur-Mignon (La);Nord-Ouest;17 182
Grézac;Sud-Ouest;17 183
Gripperie-Saint-Symphorien (La);Sud-Ouest;17 184
Gua (Le);Sud-Ouest;17 185
Gué-d'Alleré (Le);Nord-Ouest;17 186
Guitinières;Sud-Est;17 187
Haimps;Nord-Est;17 188
Houmeau (L');Nord-Ouest;17 190
Jard (La);Nord-Est;17 191
Jarnac-Champagne;Sud-Est;17 192
Jarne (La);Nord-Ouest;17 193
Jarrie (La);Nord-Ouest;17 194
Jarrie-Audouin (La);Nord-Est;17 195
Jazennes;Nord-Est;17 196
Jonzac;Sud-Est;17 197
Juicq;Nord-Est;17 198
Jussas;Sud-Est;17 199
Lagord;Nord-Ouest;17 200
Laigne (La);Nord-Ouest;17 201
Landes;Nord-Est;17 202
Landrais;Nord-Ouest;17 203
Léoville;Sud-Est;17 204
Loire-les-Marais;Sud-Ouest;17 205
Loiré-sur-Nie;Nord-Est;17 206
Loix;Nord-Ouest;17 207
Longèves;Nord-Ouest;17 208
Lonzac;Sud-Est;17 209
Lorignac;Sud-Est;17 210
Loulay;Nord-Est;17 211
Louzignac;Nord-Est;17 212
Lozay;Nord-Est;17 213
Luchat;Nord-Est;17 214
Lussac;Sud-Est;17 215
Lussant;Sud-Ouest;17 216
Macqueville;Nord-Est;17 217
Marans;Nord-Ouest;17 218
Marennes-Hiers-Brouage;Sud-Ouest;17 219
Marignac;Sud-Est;17 220
Marsais;Nord-Ouest;17 221
Marsilly;Nord-Ouest;17 222
Massac;Nord-Est;17 223
Matha;Nord-Est;17 224
Mathes (Les);Sud-Ouest;17 225
Mazeray;Nord-Est;17 226
Mazerolles;Sud-Est;17 227
Médis;Sud-Ouest;17 228
Mérignac;Sud-Est;17 229
Meschers-sur-Gironde;Sud-Ouest;17 230
Messac;Sud-Est;17 231
Meursac;Nord-Est;17 232
Meux;Sud-Est;17 233
Migré;Nord-Est;17 234
Migron;Nord-Est;17 235
Mirambeau;Sud-Est;17 236
Moëze;Sud-Ouest;17 237
Mons;Nord-Est;17 239
Montendre;Sud-Est;17 240
Montguyon;Sud-Est;17 241
Montils;Nord-Est;17 242
Montlieu-la-Garde;Sud-Est;17 243
Montpellier-de-Médillan;Nord-Est;17 244
Montroy;Nord-Ouest;17 245
Moragne;Sud-Ouest;17 246
Mornac-sur-Seudre;Sud-Ouest;17 247
Mortagne-sur-Gironde;Sud-Ouest;17 248
Mortiers;Sud-Est;17 249
Mosnac;Sud-Est;17 250
Mung (Le);Nord-Est;17 252
Muron;Sud-Ouest;17 253
Nachamps;Nord-Est;17 254
Nancras;Sud-Ouest;17 255
Nantillé;Nord-Est;17 256
Néré;Nord-Est;17 257
Neuillac;Sud-Est;17 258
Neulles;Sud-Est;17 259
Neuvicq;Sud-Est;17 260
Neuvicq-le-Château;Nord-Est;17 261
Nieul-lès-Saintes;Nord-Est;17 262
Nieulle-sur-Seudre;Sud-Ouest;17 265
Nieul-le-Virouil;Sud-Est;17 263
Nieul-sur-Mer;Nord-Ouest;17 264
Nouillers (Les);Nord-Est;17 266
Nuaillé-d'Aunis;Nord-Ouest;17 267
Nuaillé-sur-Boutonne;Nord-Est;17 268
Orignolles;Sud-Est;17 269
Ozillac;Sud-Est;17 270
Paillé;Nord-Est;17 271
Pérignac;Sud-Est;17 273
Périgny;Nord-Ouest;17 274
Pessines;Nord-Est;17 275
Pin (Le);Sud-Est;17 276
Pisany;Nord-Est;17 278
Plassac;Sud-Est;17 279
Plassay;Nord-Est;17 280
Polignac;Sud-Est;17 281
